,会社名,給与,初年度年収
0,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
1,株式会社ヒマラヤ | 【 東証1部上場 】★有給の計画取得あり　★残業月平均6.32時間,◆管理社員グループ 月給18万100円以上＋各種手当＋賞与 ＜月給例＞ 23歳:月給20万円＋手当 30歳:月給31…,不明
2,株式会社東急コミュニティー | 大阪府緊急雇用対策に賛同/年休120日以上/リフレッシュ休暇あり,月給20万円〜29万円＋各種諸手当＋賞与（年2回） ※定期昇給あり！ ※経験・年齢・能力を考慮の上、当社…,350万円～600万円
3,株式会社ウィンノット | 業界TOPクラスのシェア／完全週休2日制(土・日)／福利厚生も充実,月給／26万円以上 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面接など…,不明
4,株式会社ＫＯＧＡＯ | ★芸能人も多数来店 ★メディアで話題のSpeed小顔,月給24万円〜40万円＋手当て＋業績給 ★業界最高水準の給与★ 20代前半で月収80万円以上の高収入も可能…,350万円～600万円
5,住友生命保険相互会社 | 創業113周年 ◆完全週休2日 ◆約2年9ヶ月の特別研修カリキュラム,"月給300,000円〜＋諸手当 ※前職の経験・年収実績に応じた給与保障制度あり。 ※時間外手当を別途支給。…",460万円～600万円
6,セントラル警備保障株式会社 | 東証一部上場◆筆頭株主はJR東日本◆入社祝い金5万円◆賞与年2回,"月給 189,500円以上 + 各種手当 ※経験・スキル等を考慮の上、決定します。 ※新任研修期間（20時間）の…",350万円～400万円
7,株式会社コプロ・エンジニアード | 新規プロジェクト月1000件以上｜年間休日125日／転勤ほぼなし,月給40万円〜75万円+残業手当 ※前職給・年齢・経験・能力などを考慮し、支給額を決定致します。 ※残業…,520万円～940万円
8,株式会社 One's Will | ★未経験入社1年目の平均年収450万円★残業月10～15時間程度,"【関東】 月給250,000円〜 ※試用期間中:月給230,000円〜 【関西】 月給240,000円〜 ※試用期間中：月給…",300万円～700万円
9,重設工業株式会社 | 未経験OK＆寮完備！必要なものは全て用意するのでまずはご応募を,月給23万円〜40万円 + 諸手当 ※前職の年収・経験を考慮して給与設定をしたいと考えています。 ※年齢、…,400万円～600万円
10,株式会社トライアルカンパニー | ★転居なしで活躍できる ★残業月15.5h,月給25万5千円〜30万5千円 【マネージャー採用の場合】 月給30万円〜44万7千円 ※能力、年齢などを考慮…,360万円～800万円
11,株式会社カナモト | <東証1部上場の安定成長企業>★土日祝休み★人物重視の採用,■月給23万円〜30万円＋諸手当＋賞与年3回（実績：4.5ヵ月分） ※経験、能力を考慮し、優遇いたします。 …,350万円～450万円
12,大同生命保険株式会社 | ＜ ★基本定時(17時)退社 ★ 主婦や子育て中のママも多数在籍 ＞,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …,不明
13,ケイティケイ株式会社 | ≪大阪・福岡 積極採用中≫ ★JASDAQ上場 ★賞与実績4.4か月分,"月給20万5,000円〜27万5,000円 ※試用期間6カ月あり（期間中の待遇変更なし） ※ご経験を考慮し決定いた…",不明
14,富士フイルムロジスティックス株式会社 | 【富士フイルムグループ】★年間休日123日,月給：21万3000円〜30万円 ※経験、スキルを考慮して決定します。 ※試用期間3ヶ月（同条件）,350万円～550万円
15,UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
