,会社名,給与,初年度年収
0,株式会社ライフサポート | 水道局指定工事店★業務委託で働くメリットを公開！平均月収48万,<報酬> A　完全歩合制（月の売上の粗利25％以上） 　→月の売上によって25%以上も可能です！ B　固定報…,300万円～600万円
1,クリーンデバイス・テクノロジー株式会社,完全出来高制 1台約1〜2時間で2万1000円の利益が得られるビジネスです サービス販売価格：1台平均3万50…,不明
2,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,不明
3,UTエイム株式会社 | 【東証一部上場グループ】弱みがあったっていいじゃない♪,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
4,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
5,株式会社テクノプロ・コンストラクション | 東証一部上場グループ｜残業少なめ｜大阪府緊急雇用対策に賛同,＜経験者＞ 月給27万円以上 ＜未経験者＞ 月給22万円以上 ★平均月収45万5000円 ★当社は固定残業制を…,500万円～1106万円
6,株式会社ビッグモーター | 年収800万円も可能★月8～10日休み★面接1回★住宅手当など充実,"月給228,600円〜35万円＋インセンティブ（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決定…",300万円～1000万円
7,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,400万円～800万円
8,株式会社ホットスタッフ博多 | 北九州、行橋、小倉、飯塚、新宮、久留米に拠点を展開！,"【 月給236,250円 ＋ 高歩合給 】 ★入社1年目で月収50万円以上も目指せます！ ※ 経験、能力を考慮の…",450万円～550万円
9,株式会社エコスマート | 創業以来10期連続増収増益◆社員定着率92.3％◆年3回長期休み有,月給:22万〜53万円+諸手当+インセンティブ年4回+賞与年2回 ※経験・スキル・前給を考慮し、決定します。…,350万円～600万円
