,会社名,給与,初年度年収
0,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,不明
1,株式会社アイエスエフネット | ＊在宅比率55.7％ ＊有給取得率81％ ＊年間休日126日／土日祝,月給27万円〜　＋　インセンティブ賞与・諸手当 ※経験・スキル、取得資格を考慮して決定します ※試用…,360万円～700万円
2,株式会社bloom | ＃残業月5h以下＃完全週休2日制＃面接1回＃1年後に月給5万UP,月給22万円〜50万円＋賞与＋インセンティブ賞与 ※経験・スキルを考慮の上、決定します。 ※試用期間６…,不明
3,株式会社ドリーム・サービス | 未経験から年収700万円を目指せる/基本定時退社/有休消化100％,月給 21万円 〜 30万円 + 諸手当 + 賞与(年2回) 《モデル年収例》 年収700万円／25歳・経験3年 年収400…,不明
4,株式会社テレポート | 賞与年3回☆未経験歓迎☆土日休もOK｜大阪府緊急雇用対策に賛同,月給20万円〜27万円＋各種手当（インセンティブ、家賃補助、引越手当、帰省手当あり）＋賞与年3回 【エ…,不明
5,株式会社クロード | ★上場企業のグループ会社 ★有給推奨 ★サービス残業一切なし,月給24万円以上 + 賞与年2回 ＋ 交通費支給 ★経験者の方は前職給与を最大限考慮して決定します ★未経験…,300万円～450万円
6,Earth Technology株式会社 | 英語力を活かせる／IT未経験入社9割／文系出身8割／女性活躍中,"◆関東エリア：月給225,000円以上＋賞与年2回 ◆関西エリア：月給215,000円以上＋賞与年2回 ◆札幌エリア…",300万円～500万円
7,株式会社フォーカスシステムズ | 【東証一部上場】安定基盤／教育体制・福利厚生充実で20代活躍中,月給21万円〜32万円（一律手当含む） ※残業代は別途全額支給 ※経験・スキル・前職給与を考慮して決定し…,400万円～600万円
8,株式会社アイエム | 最先端技術を学び「市場価値の高い人材」にスキルアップ可能,■月給30万円〜45万円＋残業代＋各種手当＋賞与2回 ※経験・スキル・年齢を考慮の上、決定します。,400万円～700万円
9,株式会社ウエストネット・テクノロジー | ★引越し手当10万円＋入社祝金10万円★社員寮あり★年休130日,〈月給〉33万円〜65万円 ★前職給与保証！ ※経験・スキル等を最大限に考慮のうえ決定。 ※残業が発生し…,400万円～800万円
10,株式会社ＪＷソリューション | 東証一部上場を親子会に持つ安定企業｜残業月10H以下★完週休2日,【関東】 月給22万円以上＋賞与年2回＋インセンティブ ※上記は、固定残業代（月15時間分／2万2000円以上…,不明
11,ソフトバンク株式会社 | 【東証1部上場】ソフトバンク本体の募集,【東京・神奈川・千葉・埼玉・茨城】 月給24万円〜(月収例／25万8000円〜) 【愛知/石川】 月給23万2000…,250万円～350万円
12,ソフトバンク株式会社 | 【東証1部上場】◆ソフトバンクの正社員になれるチャンス！,【東京・神奈川・千葉・埼玉・茨城】 月給24万円〜(月収例／25万8000円〜) 【愛知/石川】 月給23万2000…,250万円～350万円
13,住吉工業グループ合同募集 | 必要な福利厚生は随時追加！1級保持者の平均賞与は130万円/年！,月給25万円〜50万円 【1級土木施工管理の資格者】 月給30万円〜40万円＋各種手当 【2級土木施工管理の…,430万円～850万円
14,株式会社Provigent | ★未経験者70％以上 ★コロナ対策万全 ★入社祝い金10万円！,月給25万円〜 ※20時間分のみなし残業手当(3万円)含む。超過分は別途支給 ※みなし残業代は法律の割増率…,300万円～700万円
